"2017-12-28T20:00:00+00:00  Crystal PalacevsArsenal"
"2017-12-18T20:00:00+00:00  EvertonvsSwansea City"
"2017-12-27T19:45:00+00:00  Newcastle UnitedvsManchester City"
"2018-01-04T20:00:00+00:00  Tottenham HotspurvsWest Ham United"
"2017-12-31T12:00:00+00:00  Crystal PalacevsManchester City"
"2017-12-31T16:30:00+00:00  West Bromwich AlbionvsArsenal"
"2018-01-15T20:00:00+00:00  Manchester UnitedvsStoke City"
"2017-08-21T20:00:00+01:00  Manchester CityvsEverton"
"2017-12-12T19:45:00+00:00  BurnleyvsStoke City"
"2017-12-12T20:00:00+00:00  Crystal PalacevsWatford"
"2017-12-12T20:00:00+00:00  Huddersfield TownvsChelsea"
"2017-12-22T19:45:00+00:00  ArsenalvsLiverpool"
"2018-04-16T20:00:00+01:00  West Ham UnitedvsStoke City"
"2018-05-04T20:00:00+01:00  Brighton & Hove AlbionvsManchester United"
"2018-05-10T19:45:00+01:00  West Ham UnitedvsManchester United"
"2018-01-22T20:00:00+00:00  Swansea CityvsLiverpool"
"2017-09-11T20:00:00+01:00  West Ham UnitedvsHuddersfield Town"
"2018-01-03T19:45:00+00:00  ArsenalvsChelsea"
"2018-02-05T20:00:00+00:00  WatfordvsChelsea"
"2018-05-08T19:45:00+01:00  Swansea CityvsSouthampton"
"2017-11-20T20:00:00+00:00  Brighton & Hove AlbionvsStoke City"
"2018-02-12T20:00:00+00:00  ChelseavsWest Bromwich Albion"
"2017-08-11T19:45:00+01:00  ArsenalvsLeicester City"
"2018-04-30T20:00:00+01:00  Tottenham HotspurvsWatford"
"2018-04-23T20:00:00+01:00  EvertonvsNewcastle United"
"2018-03-05T20:00:00+00:00  Crystal PalacevsManchester United"
"2017-10-16T20:00:00+01:00  Leicester CityvsWest Bromwich Albion"
"2018-03-01T19:45:00+00:00  ArsenalvsManchester City"
"2017-12-13T19:45:00+00:00  Newcastle UnitedvsEverton"
"2017-12-13T19:45:00+00:00  SouthamptonvsLeicester City"
"2017-12-13T20:00:00+00:00  LiverpoolvsWest Bromwich Albion"
"2017-12-13T19:45:00+00:00  Swansea CityvsManchester City"
"2017-12-13T20:00:00+00:00  Manchester UnitedvsAFC Bournemouth"
"2017-12-13T20:00:00+00:00  Tottenham HotspurvsBrighton & Hove Albion"
"2017-12-13T20:00:00+00:00  West Ham UnitedvsArsenal"
"2018-05-09T19:45:00+01:00  ChelseavsHuddersfield Town"
"2018-05-09T19:45:00+01:00  Leicester CityvsArsenal"
"2018-05-09T20:00:00+01:00  Tottenham HotspurvsNewcastle United"
"2018-05-09T20:00:00+01:00  Manchester CityvsBrighton & Hove Albion"
"2017-09-15T20:00:00+01:00  AFC BournemouthvsBrighton & Hove Albion"
"2018-04-19T19:45:00+01:00  BurnleyvsChelsea"
"2018-04-19T19:45:00+01:00  Leicester CityvsSouthampton"
"2018-01-02T19:45:00+00:00  SouthamptonvsCrystal Palace"
"2018-01-02T19:45:00+00:00  Swansea CityvsTottenham Hotspur"
"2018-01-02T20:00:00+00:00  Manchester CityvsWatford"
"2018-01-02T19:45:00+00:00  West Ham UnitedvsWest Bromwich Albion"
"2017-11-29T19:45:00+00:00  ArsenalvsHuddersfield Town"
"2017-11-29T19:45:00+00:00  AFC BournemouthvsBurnley"
"2017-11-29T19:45:00+00:00  ChelseavsSwansea City"
"2017-11-29T20:00:00+00:00  EvertonvsWest Ham United"
"2017-11-29T20:00:00+00:00  Stoke CityvsLiverpool"
"2017-11-29T20:00:00+00:00  Manchester CityvsSouthampton"
"2018-03-12T20:00:00+00:00  Stoke CityvsManchester City"
"2017-10-30T20:00:00+00:00  BurnleyvsNewcastle United"
"2017-11-19T16:00:00+00:00  WatfordvsWest Ham United"
"2018-01-14T16:00:00+00:00  LiverpoolvsManchester City"
"2018-01-14T13:30:00+00:00  AFC BournemouthvsArsenal"
"2017-09-10T13:30:00+01:00  BurnleyvsCrystal Palace"
"2017-09-10T16:00:00+01:00  Swansea CityvsNewcastle United"
"2018-01-31T19:45:00+00:00  ChelseavsAFC Bournemouth"
"2018-01-31T19:45:00+00:00  SouthamptonvsBrighton & Hove Albion"
"2018-01-31T19:45:00+00:00  Newcastle UnitedvsBurnley"
"2018-01-31T19:45:00+00:00  EvertonvsLeicester City"
"2018-01-31T20:00:00+00:00  Manchester CityvsWest Bromwich Albion"
"2018-01-31T20:00:00+00:00  Tottenham HotspurvsManchester United"
"2018-01-31T20:00:00+00:00  Stoke CityvsWatford"
"2017-09-25T20:00:00+01:00  ArsenalvsWest Bromwich Albion"
"2017-08-27T13:30:00+01:00  ChelseavsEverton"
"2017-08-27T13:30:00+01:00  West Bromwich AlbionvsStoke City"
"2017-08-27T16:00:00+01:00  LiverpoolvsArsenal"
"2017-08-27T16:00:00+01:00  Tottenham HotspurvsBurnley"
"2017-11-26T13:30:00+00:00  SouthamptonvsEverton"
"2017-11-26T16:00:00+00:00  Huddersfield TownvsManchester City"
"2017-11-26T14:00:00+00:00  BurnleyvsArsenal"
"2018-01-01T12:30:00+00:00  Brighton & Hove AlbionvsAFC Bournemouth"
"2018-01-01T15:00:00+00:00  BurnleyvsLiverpool"
"2018-01-01T15:00:00+00:00  Stoke CityvsNewcastle United"
"2018-01-01T15:00:00+00:00  Leicester CityvsHuddersfield Town"
"2018-01-01T17:30:00+00:00  EvertonvsManchester United"
"2018-02-25T12:00:00+00:00  Crystal PalacevsTottenham Hotspur"
"2018-02-25T14:05:00+00:00  Manchester UnitedvsChelsea"
"2017-12-10T12:00:00+00:00  SouthamptonvsArsenal"
"2017-12-10T16:30:00+00:00  Manchester UnitedvsManchester City"
"2017-12-10T14:15:00+00:00  LiverpoolvsEverton"
"2018-04-18T19:45:00+01:00  AFC BournemouthvsManchester United"
"2017-11-28T19:45:00+00:00  Leicester CityvsTottenham Hotspur"
"2017-11-28T19:45:00+00:00  Brighton & Hove AlbionvsCrystal Palace"
"2017-11-28T20:00:00+00:00  WatfordvsManchester United"
"2017-11-28T20:00:00+00:00  West Bromwich AlbionvsNewcastle United"
"2017-08-13T13:30:00+01:00  Newcastle UnitedvsTottenham Hotspur"
"2017-08-13T16:00:00+01:00  Manchester UnitedvsWest Ham United"
"2017-11-24T20:00:00+00:00  West Ham UnitedvsLeicester City"
"2018-04-17T19:45:00+01:00  Brighton & Hove AlbionvsTottenham Hotspur"
"2017-08-20T16:00:00+01:00  Tottenham HotspurvsChelsea"
"2017-08-20T13:30:00+01:00  Huddersfield TownvsNewcastle United"
"2017-10-29T13:30:00+00:00  Brighton & Hove AlbionvsSouthampton"
"2017-10-29T16:00:00+00:00  Leicester CityvsEverton"
"2018-01-30T19:45:00+00:00  West Ham UnitedvsCrystal Palace"
"2018-01-30T19:45:00+00:00  Swansea CityvsArsenal"
"2018-01-30T20:00:00+00:00  Huddersfield TownvsLiverpool"
"2018-02-11T16:30:00+00:00  SouthamptonvsLiverpool"
"2018-02-11T12:00:00+00:00  Huddersfield TownvsAFC Bournemouth"
"2018-02-11T14:15:00+00:00  Newcastle UnitedvsManchester United"
"2018-05-05T12:30:00+01:00  Stoke CityvsCrystal Palace"
"2018-05-05T15:00:00+01:00  AFC BournemouthvsSwansea City"
"2018-05-05T15:00:00+01:00  Leicester CityvsWest Ham United"
"2018-05-05T15:00:00+01:00  WatfordvsNewcastle United"
"2018-05-05T15:00:00+01:00  West Bromwich AlbionvsTottenham Hotspur"
"2018-05-05T17:30:00+01:00  EvertonvsSouthampton"
"2018-04-01T13:30:00+01:00  ArsenalvsStoke City"
"2018-04-01T16:00:00+01:00  ChelseavsTottenham Hotspur"
"2018-03-11T16:00:00+00:00  AFC BournemouthvsTottenham Hotspur"
"2018-03-11T13:30:00+00:00  ArsenalvsWatford"
"2018-02-04T14:15:00+00:00  Crystal PalacevsNewcastle United"
"2018-02-04T16:30:00+00:00  LiverpoolvsTottenham Hotspur"
"2017-12-17T16:30:00+00:00  AFC BournemouthvsLiverpool"
"2018-01-20T12:30:00+00:00  Brighton & Hove AlbionvsChelsea"
"2017-12-17T14:15:00+00:00  West Bromwich AlbionvsManchester United"
"2018-01-20T15:00:00+00:00  EvertonvsWest Bromwich Albion"
"2018-01-20T15:00:00+00:00  Leicester CityvsWatford"
"2018-01-20T15:00:00+00:00  ArsenalvsCrystal Palace"
"2018-01-20T15:00:00+00:00  BurnleyvsManchester United"
"2018-01-20T17:30:00+00:00  Manchester CityvsNewcastle United"
"2018-01-20T15:00:00+00:00  Stoke CityvsHuddersfield Town"
"2018-01-20T15:00:00+00:00  West Ham UnitedvsAFC Bournemouth"
"2017-09-17T13:30:00+01:00  ChelseavsArsenal"
"2017-09-17T16:00:00+01:00  Manchester UnitedvsEverton"
"2017-10-22T13:30:00+01:00  EvertonvsArsenal"
"2017-10-22T16:00:00+01:00  Tottenham HotspurvsLiverpool"
"2017-10-15T16:00:00+01:00  SouthamptonvsNewcastle United"
"2017-10-15T13:30:00+01:00  Brighton & Hove AlbionvsEverton"
"2017-10-20T20:00:00+01:00  West Ham UnitedvsBrighton & Hove Albion"
"2018-04-08T16:30:00+01:00  ChelseavsWest Ham United"
